Hash Function,Input Data,Hash Value,Compression Ratio,Throughput (Hashes/sec),Avalanche Effect (%),Sensitivity (Bits Changed),Entropy,Memory Usage (bytes),Hash Value Length (bits),Security Level,Parallelizability,Resistance to Length Extension,Energy Consumption,Side-channel Resistance,Efficiency (Time per Byte)
SHA-512,OpenAI creates and trains AI models.,8a7b6dce5c7312872d15fdb10de9b2cc7b2005cc95c08fa2738285d715199cdeb53e3ee3d661ece187acea2780fa0be403dda73fa2ddf1479b10c8d1ef8de552,0.5625,1062118.004558116,51.5625,264,5.75,64.0,512,High,Moderate,Yes,Unknown,Unknown,2.615319357977973e-08
SHA3-256,OpenAI creates and trains AI models.,86f1cb2129b3719605f01b49c2aadc9d961ab93cd5942f349f2c96f617ec1894,1.125,914389.361238282,49.609375,127,4.788909765557392,32.0,256,High,Moderate,Yes,Unknown,Unknown,3.037850062052409e-08
Blake2b,OpenAI creates and trains AI models.,98b3dffe5277fd17acf2cb7c3ffd1f71a03078c1cb5d0f5ce300f55d4d6ccaffe5e34ebafc09ca21a9658e6487a1426b9dcd29276076fb50b1c56b1e8f81ba88,0.5625,997456.3614744352,47.265625,242,5.78125,64.0,512,High,Moderate,Yes,Unknown,Unknown,2.7848614586724174e-08
MD5,Data integrity is crucial in information security.,f50565a385cd717d92aef361163fb91e,3.125,1486287.7391920623,55.46875,71,4.0,16.0,128,Moderate,Moderate,No,Unknown,Unknown,1.3456344604492187e-08
SHA-1,Data integrity is crucial in information security.,a1da55b8ec18cef93c14a8de63c9792b3eb8f462,2.5,1489983.6589698046,57.49999999999999,92,4.221928094887362,20.0,160,Moderate,Moderate,No,Unknown,Unknown,1.342296600341797e-08
SHA-256,Data integrity is crucial in information security.,8cbf7bfefe12e1c1ffa5789282d28af48e38870fb6c2012bad7f3684e5af19ae,1.5625,1277582.6987511422,50.390625,129,4.9375,32.0,256,High,Moderate,No,Unknown,Unknown,1.5654563903808593e-08
SHA-512,Data integrity is crucial in information security.,49caf93c04f7213b7aa4c67b41894aaebcde10e858aa65b26dae130d7537cbb103b6209b03102b3687d4538c5bf721f0f5fe59f6cb4e015965c59021345b918a,0.78125,1111368.3094859566,50.5859375,259,5.675704882778696,64.0,512,High,Moderate,Yes,Unknown,Unknown,1.799583435058594e-08
SHA3-256,Data integrity is crucial in information security.,a46141f8ab9df0af4537e28b294f091aa75901ac4c3cb9dd58cd633dbfa70266,1.5625,895453.4585824081,52.734375,135,4.9375,32.0,256,High,Moderate,Yes,Unknown,Unknown,2.2335052490234375e-08
Blake2b,Data integrity is crucial in information security.,2d78dedfb50acd92684b938308ffbb575e0cd085ef8d3798f077e3ea5365011e1448b1cb667d2184ef7c7c1898e37855b112e234ff525b5c31c98dea1cf9f70a,0.78125,992499.7633696167,53.125,272,5.6875,64.0,512,High,Moderate,Yes,Unknown,Unknown,2.0151138305664062e-08
MD5,Cryptographic hash functions are widely used.,b8ab598bc26460e11c23c5899f562481,2.8125,1455344.8993754338,48.4375,62,4.0,16.0,128,Moderate,Moderate,No,Unknown,Unknown,1.5269385443793403e-08
SHA-1,Cryptographic hash functions are widely used.,1bfcad439ce17dc0c1d47c2868ae9df70910591f,2.25,1485235.1274787534,50.625,81,4.321928094887363,20.0,160,Moderate,Moderate,No,Unknown,Unknown,1.496209038628472e-08
SHA-256,Cryptographic hash functions are widely used.,964e2a490f4b8875461df62bf519f8a1b61ff5873c9857696a69c3dc53c336ed,1.40625,1286201.7785955227,51.171875,131,4.8125,32.0,256,High,Moderate,No,Unknown,Unknown,1.727739969889323e-08
SHA-512,Cryptographic hash functions are widely used.,acf36260b7741c3e5829705f2b66cc871827d05f503e95fbe1a01bc54f6f7bf2597c84c247f04dba4885e51ff24eb7128280f61a46c921cd2d85b78b211f6b7d,0.703125,1121171.8791766907,52.34375,268,5.738204882778696,64.0,512,High,Moderate,Yes,Unknown,Unknown,1.9820531209309897e-08
SHA3-256,Cryptographic hash functions are widely used.,06130064fbde94c9d63f16330635288ed765bc684b087f9e44d3f3a2630b6d80,1.40625,834355.2814800079,48.828125,125,4.9375,32.0,256,High,Moderate,Yes,Unknown,Unknown,2.663400438096788e-08
Blake2b,Cryptographic hash functions are widely used.,f574b2f8d5aa5f3846d176308a77c599f797ab692801ec579450aeba58a8d882aa45a7c4033cda45b2f8aa7fc9ad49b65a1efb44a081e197d05f293a6c4f1ef7,0.703125,995798.6704653371,47.0703125,241,5.706954882778696,64.0,512,High,Moderate,Yes,Unknown,Unknown,2.231597900390625e-08
